month,total_value,total_dividend_income,monthly_dividend_income
0,4000.00,186.00,15.50
1,4075.50,187.60,15.63
2,4151.74,189.22,15.77
3,4228.73,190.84,15.90
4,4306.47,192.48,16.04
5,4384.98,194.13,16.18
6,4464.26,195.80,16.32
7,4544.33,197.47,16.46
8,4625.18,199.16,16.60
9,4706.83,200.86,16.74
10,4789.29,202.58,16.88
11,4872.56,204.30,17.03
12,4956.65,206.05,17.17
13,5041.58,207.80,17.32
14,5127.35,209.57,17.46
15,5213.98,211.35,17.61
16,5301.46,213.14,17.76
17,5389.81,214.95,17.91
18,5479.05,216.77,18.06
19,5569.17,218.61,18.22
20,5660.19,220.46,18.37
21,5752.12,222.32,18.53
22,5844.97,224.20,18.68
23,5938.75,226.09,18.84
24,6033.46,228.00,19.00
25,6129.13,229.92,19.16
26,6225.75,231.86,19.32
27,6323.35,233.81,19.48
28,6421.92,235.78,19.65
29,6521.49,237.76,19.81
30,6622.06,239.76,19.98
31,6723.64,241.77,20.15
32,6826.25,243.80,20.32
33,6929.90,245.84,20.49
34,7034.59,247.90,20.66
35,7140.34,249.98,20.83
36,7247.16,252.07,21.01
37,7355.07,254.18,21.18
38,7464.07,256.30,21.36
39,7574.17,258.44,21.54
40,7685.40,260.60,21.72
41,7797.75,262.78,21.90
42,7911.26,264.97,22.08
43,8025.92,267.18,22.26
44,8141.74,269.40,22.45
45,8258.75,271.65,22.64
46,8376.96,273.91,22.83
47,8496.38,276.19,23.02
48,8617.02,278.48,23.21
49,8738.90,280.80,23.40
50,8862.02,283.13,23.59
51,8986.41,285.48,23.79
52,9112.08,287.85,23.99
53,9239.05,290.24,24.19
54,9367.32,292.65,24.39
55,9496.91,295.08,24.59
56,9627.84,297.52,24.79
57,9760.13,299.99,25.00
58,9893.78,302.47,25.21
59,10028.81,304.98,25.41
60,10165.24,307.50,25.63
61,10303.09,310.04,25.84
62,10442.36,312.61,26.05
63,10583.09,315.19,26.27
64,10725.27,317.80,26.48
65,10868.94,320.43,26.70
66,11014.10,323.07,26.92
67,11160.77,325.74,27.15
68,11308.98,328.43,27.37
69,11458.73,331.14,27.60
70,11610.05,333.88,27.82
71,11762.95,336.63,28.05
72,11917.45,339.41,28.28
73,12073.57,342.21,28.52
74,12231.33,345.03,28.75
75,12390.74,347.87,28.99
76,12551.83,350.74,29.23
77,12714.62,353.63,29.47
78,12879.12,356.55,29.71
79,13045.35,359.48,29.96
80,13213.34,362.45,30.20
81,13383.10,365.43,30.45
82,13554.65,368.44,30.70
83,13728.02,371.48,30.96
84,13903.23,374.53,31.21
85,14080.29,377.62,31.47
86,14259.22,380.73,31.73
87,14440.06,383.86,31.99
88,14622.82,387.02,32.25
89,14807.52,390.21,32.52
90,14994.19,393.42,32.78
91,15182.85,396.66,33.05
92,15373.52,399.92,33.33
93,15566.22,403.21,33.60
94,15760.98,406.53,33.88
95,15957.83,409.88,34.16
96,16156.78,413.25,34.44
97,16357.86,416.65,34.72
98,16561.10,420.08,35.01
99,16766.51,423.54,35.29
100,16974.14,427.02,35.59
101,17183.99,430.54,35.88
102,17396.10,434.08,36.17
103,17610.50,437.66,36.47
104,17827.21,441.26,36.77
105,18046.25,444.89,37.07
106,18267.66,448.56,37.38
107,18491.46,452.25,37.69
108,18717.68,455.97,38.00
109,18946.35,459.73,38.31
110,19177.49,463.52,38.63
111,19411.14,467.33,38.94
112,19647.33,471.18,39.27
113,19886.09,475.07,39.59
114,20127.44,478.98,39.92
115,20371.41,482.93,40.24
116,20618.04,486.91,40.58
117,20867.36,490.93,40.91
118,21119.39,494.98,41.25
119,21374.19,499.06,41.59
120,21631.76,503.18,41.93
