month,invested_value,cash_dividends,total_value,total_dividend_income,monthly_dividend_income
0,0.00,0.00,0.00,0.00,0.00
1,500.00,0.00,500.00,6.21,0.52
2,1005.49,0.00,1005.49,12.48,1.04
3,1516.53,0.00,1516.53,18.81,1.57
4,2033.18,0.00,2033.18,25.19,2.10
5,2555.52,0.00,2555.52,31.64,2.64
6,3083.60,0.00,3083.60,38.14,3.18
7,3617.50,0.00,3617.50,44.71,3.73
8,4157.28,0.00,4157.28,51.34,4.28
9,4703.01,0.00,4703.01,58.03,4.84
10,5254.76,0.00,5254.76,64.79,5.40
11,5812.61,0.00,5812.61,71.60,5.97
12,6376.61,0.00,6376.61,78.49,6.54
13,6946.84,0.00,6946.84,85.43,7.12
14,7523.39,0.00,7523.39,92.45,7.70
15,8106.31,0.00,8106.31,99.52,8.29
16,8695.69,0.00,8695.69,106.67,8.89
17,9291.59,0.00,9291.59,113.88,9.49
18,9894.11,0.00,9894.11,121.16,10.10
19,10503.30,0.00,10503.30,128.51,10.71
20,11119.26,0.00,11119.26,135.93,11.33
21,11742.06,0.00,11742.06,143.43,11.95
22,12371.79,0.00,12371.79,150.99,12.58
23,13008.51,0.00,13008.51,158.62,13.22
24,13652.33,0.00,13652.33,166.33,13.86
25,14303.31,0.00,14303.31,174.11,14.51
26,14961.54,0.00,14961.54,181.96,15.16
27,15627.11,0.00,15627.11,189.89,15.82
28,16300.11,0.00,16300.11,197.89,16.49
29,16980.62,0.00,16980.62,205.98,17.16
30,17668.73,0.00,17668.73,214.13,17.84
31,18364.53,0.00,18364.53,222.37,18.53
32,19068.12,0.00,19068.12,230.69,19.22
33,19779.57,0.00,19779.57,239.08,19.92
34,20499.00,0.00,20499.00,247.56,20.63
35,21226.48,0.00,21226.48,256.11,21.34
36,21962.12,0.00,21962.12,264.75,22.06
37,22706.01,0.00,22706.01,273.48,22.79
38,23458.25,0.00,23458.25,282.28,23.52
39,24218.94,0.00,24218.94,291.18,24.26
40,24988.18,0.00,24988.18,300.15,25.01
41,25766.07,0.00,25766.07,309.22,25.77
42,26552.71,0.00,26552.71,318.37,26.53
43,27348.21,0.00,27348.21,327.61,27.30
44,28152.67,0.00,28152.67,336.94,28.08
45,28966.19,0.00,28966.19,346.36,28.86
46,29788.90,0.00,29788.90,355.87,29.66
47,30620.89,0.00,30620.89,365.47,30.46
48,31462.28,0.00,31462.28,375.17,31.26
49,32313.17,0.00,32313.17,384.96,32.08
50,33173.68,0.00,33173.68,394.85,32.90
51,34043.94,0.00,34043.94,404.83,33.74
52,34924.04,0.00,34924.04,414.91,34.58
53,35814.11,0.00,35814.11,425.09,35.42
54,36714.27,0.00,36714.27,435.37,36.28
55,37624.64,0.00,37624.64,445.75,37.15
56,38545.34,0.00,38545.34,456.23,38.02
57,39476.49,0.00,39476.49,466.81,38.90
58,40418.22,0.00,40418.22,477.50,39.79
59,41370.66,0.00,41370.66,488.29,40.69
60,42333.93,0.00,42333.93,499.19,41.60
61,43308.17,0.00,43308.17,510.19,42.52
62,44293.50,0.00,44293.50,521.30,43.44
63,45290.06,0.00,45290.06,532.53,44.38
