Symbol,Name,Latest,Change,%Change,Open,High,Low,Volume,Time
A,"Agilent Technologies",111.3,-0.45,-0.40%,111.57,112.53,110.18,4402400,2026-03-20
AA,"Alcoa Corp",56.45,-2.2,-3.75%,57.94,59.79,55.69,7744600,2026-03-20
AAL,"American Airlines Gp",10.43,-0.37,-3.43%,10.75,10.83,10.34,58384598,2026-03-20
AAON,"Aaon Inc",80.01,-0.04,-0.05%,80.19,81.89,78.33,957800,2026-03-20
AAPL,"Apple Inc",247.99,-0.97,-0.39%,247.98,249.2,246,88331000,2026-03-20
ABBV,"Abbvie Inc",205.07,-1.16,-0.56%,206.26,207.78,203.06,27982300,2026-03-20
ABNB,"Airbnb Inc Cl A",128.52,-2.27,-1.74%,130.03,130.71,127.7,7047900,2026-03-20
ABT,"Abbott Laboratories",105.46,-1.73,-1.61%,107.04,107.79,105.4,81271200,2026-03-20
ACGL,"Arch Capital Grp Ltd",92.3,0.13,+0.14%,92.28,92.78,91.66,4093100,2026-03-20
ACHC,"Acadia Healthcr Company",22.73,-0.23,-1.00%,23.18,23.52,22.56,3754800,2026-03-20
ACI,"Albertsons Companies Inc Cl A",17.29,-0.05,-0.29%,17.42,17.525,17.225,15817100,2026-03-20
ACM,"Aecom Technology Corp",88.58,-1.74,-1.93%,89.93,90.38,88.11,2285400,2026-03-20
ACN,"Accenture Plc",199.99,-3.56,-1.75%,203.5,207.4199,198.49,44335900,2026-03-20
ADBE,"Adobe Systems Inc",248.15,2.16,+0.88%,242.8,249.09,241,10467200,2026-03-20
ADC,"Agree Realty Corp",76.15,-2.52,-3.20%,78.54,78.815,75.7,2980500,2026-03-20
ADI,"Analog Devices",309.43,-1.01,-0.33%,311.15,312.25,305.95,7029300,2026-03-20
ADM,"Archer Daniels Midland",66.17,-2.47,-3.60%,68.82,68.82,65.07,16669300,2026-03-20
ADP,"Automatic Data Processing",208.69,-1.97,-0.94%,211.27,212.79,208.56,19084100,2026-03-20
ADSK,"Autodesk Inc",247.99,0.34,+0.14%,245.95,248.61,241.49,4418500,2026-03-20
ADT,"ADT Inc",6.51,-0.08,-1.21%,6.59,6.62,6.475,16436000,2026-03-20
AEE,"Ameren Corp",106.06,-3.5,-3.19%,109.51,109.89,105.655,3376100,2026-03-20
AEP,"American Electric Power Company",125.66,-3.06,-2.38%,128.18,128.92,125.08,8611101,2026-03-20
AES,"The Aes Corp",14.1,-0.05,-0.35%,14.15,14.17,14.07,22339500,2026-03-20
AFG,"American Financial Group",124.18,-0.29,-0.23%,124.38,124.72,123.29,2706000,2026-03-20
AFL,"Aflac Inc",106.22,-0.95,-0.89%,107.59,108.16,106.03,6760700,2026-03-20
AFRM,"Affirm Holdings Inc Cl A",43.81,-0.62,-1.40%,44.04,45.45,43.24,5382900,2026-03-20
AGCO,"Agco Corp",109.26,-1.67,-1.51%,111.04,111.425,107.72,1733300,2026-03-20
AGNC,"Agnc Investment Corp",9.75,-0.54,-5.25%,10.28,10.32,9.73,54083098,2026-03-20
AGO,"Assured Guaranty Ltd",80.81,-1.22,-1.49%,82.04,82.365,80.53,689600,2026-03-20
AIG,"American International Group",74.39,0.5,+0.68%,73.77,75.12,73.77,6120400,2026-03-20
AIT,"Applied Industrial Technologies",253.77,-2.81,-1.10%,256.07,257.385,250.9,1096700,2026-03-20
AIZ,"Assurant Inc",212.81,0.94999999999999,+0.45%,212.37,212.83,210.44,526200,2026-03-20
AJG,"Arthur J. Gallagher & Company",214.82,5.14,+2.45%,210.39,215.86,210.21,3845300,2026-03-20
AKAM,"Akamai Technologies",110.48,0.48,+0.44%,110.56,111.86,108.81,13118300,2026-03-20
AL,"Air Lease Corp Cl A",64.61,0.030000000000001,+0.05%,64.67,64.685,64.585,2496500,2026-03-20
ALAB,"Astera Labs Inc",116.04,-10.12,-8.02%,124.39,124.63,114.75,8694500,2026-03-20
ALB,"Albemarle Corp",156.7,-6.56,-4.02%,163.5,164.2,154.69,2936800,2026-03-20
ALGM,"Allegro Microsystems Inc",29.95,-0.96,-3.11%,30.88,31.04,29.56,2351300,2026-03-20
ALGN,"Align Technology",173.18,-3.07,-1.74%,175.97,178.74,171.27,2108400,2026-03-20
ALK,"Alaska Air Group",36.91,-1.02,-2.69%,37.8,38.03,36.72,4824000,2026-03-20
ALL,"Allstate Corp",205.62,1.55,+0.76%,204.06,207.08,203.33,3379200,2026-03-20
ALLE,"Allegion Plc",142.49,-1.34,-0.93%,143.81,144.225,141.26,1290800,2026-03-20
ALLY,"Ally Financial",38.43,0.34,+0.89%,38,38.86,37.825,5266100,2026-03-20
ALNY,"Alnylam Pharmaceuticals",312.17,1.07,+0.34%,311.05,322.43,311.05,2050700,2026-03-20
ALSN,"Allison Transmission Holdings",110.7,-1.49,-1.33%,111.78,112.6,109.42,2152600,2026-03-20
AM,"Antero Midstream Corp",22.65,-0.42,-1.82%,23.1,23.17,22.63,6467500,2026-03-20
AMAT,"Applied Materials",357.06,-0.15,-0.04%,359.77,362,346.66,17587801,2026-03-20
AMCR,"Amcor Plc",38.28,-0.41,-1.06%,38.5,39,38.06,46524300,2026-03-20
AMD,"Adv Micro Devices",201.33,-3.94,-1.92%,204.88,206.3,198.26,37265102,2026-03-20
AME,"Ametek Inc",209.37,-2.13,-1.01%,212.25,213.81,208.26,2249100,2026-03-20
AMG,"Affiliated Managers Group",278.17,-0.5,-0.18%,278.86,280.76,274.16,675500,2026-03-20
AMGN,"Amgen Inc",347.8,-2.12,-0.61%,348.01,351.24,344.95,9169000,2026-03-20
AMH,"American Homes 4 Rent",27.38,-0.76,-2.70%,27.86,28.06,27.215,6124100,2026-03-20
AMKR,"Amkor Technology",45.81,-2.32,-4.82%,48.25,48.65,44.47,5408800,2026-03-20
AMP,"Ameriprise Financial Services",438.94,4.88,+1.12%,430.66,440,430.66,1824700,2026-03-20
AMT,"American Tower Corp",176.79,-5.97,-3.27%,184.02,185.72,175.6,6368000,2026-03-20
AMTM,"Amentum Holdings Inc",26.8,-0.4,-1.47%,27.06,27.19,26.63,3637300,2026-03-20
