frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,1024,120,1,0,2.29741,0.0432,0.062464,0.016384,2.29741,6.4,6.4,122880
1,1024,120,1,0,0.126304,0.119616,0.016384,0.016384,0.126304,6.4,6.4,122880
2,1024,120,1,0,0.11104,0.113792,0.016384,0.016384,0.113792,6.4,6.4,122880
3,1024,120,1,0,0.126176,0.133792,0.014336,0.01536,0.133792,6.4,6.4,122880
4,1024,120,1,0,0.114656,0.103296,0.01536,0.017408,0.114656,6.4,6.4,122880
5,1024,120,1,0,0.052224,0.057472,0.01536,0.016384,0.057472,6.4,6.4,122880
6,1024,120,1,0,0.122016,0.137536,0.01536,0.016384,0.137536,6.4,6.4,122880
7,1024,120,1,0,0.120064,0.122272,0.01536,0.016384,0.122272,6.4,6.4,122880
8,1024,120,1,0,0.162048,0.079104,0.016384,0.053184,0.162048,6.4,6.4,122880
9,1024,120,1,0,0.10224,0.102304,0.016384,0.01536,0.102304,6.4,6.4,122880
10,1024,120,1,0,0.109152,0.101664,0.01536,0.017408,0.109152,6.4,6.4,122880
11,1024,120,1,0,0.17584,0.101152,0.014336,0.016384,0.17584,6.4,6.4,122880
12,1024,120,1,0,0.122432,0.133024,0.01536,0.016384,0.133024,6.4,6.4,122880
13,1024,120,1,0,0.132352,0.087872,0.016384,0.018432,0.132352,6.4,6.4,122880
14,1024,120,1,0,0.110592,0.116096,0.016384,0.01536,0.116096,6.4,6.4,122880
15,1024,120,1,0,0.121728,0.105952,0.016384,0.01536,0.121728,7.4476,6.4,122880
16,1024,120,1,0,0.11456,0.089504,0.104448,0.017408,0.11456,7.4476,6.4,122880
17,1024,120,1,0,0.197632,0.212224,0.01536,0.016384,0.212224,8.09122,6.4,122880
18,1024,120,1,0,0.127008,0.127264,0.017408,0.016384,0.127264,8.09122,6.4,122880
19,1024,120,1,0,0.112032,0.116384,0.01536,0.016384,0.116384,7.77512,6.4,122880
20,1024,120,1,0,0.206624,0.088896,0.016384,0.016384,0.206624,7.77512,6.4,122880
21,1024,120,1,0,0.101856,0.105312,0.017408,0.015392,0.105312,7.21015,6.4,122880
22,1024,120,1,0,0.10976,0.12032,0.017408,0.016384,0.12032,7.21015,6.4,122880
23,1024,120,1,0,0.153248,0.0992,0.014336,0.016384,0.153248,7.10845,6.4,122880
24,1024,120,1,0,0.110304,0.090208,0.016384,0.017408,0.110304,7.10845,6.4,122880
25,1024,120,1,0,0.186656,0.2008,0.01536,0.016384,0.2008,7.01376,6.4,122880
26,1024,120,1,0,0.10992,0.11648,0.01536,0.016384,0.11648,7.01376,6.4,122880
27,1024,120,1,0,0.163712,0.178432,0.01536,0.016384,0.178432,6.95396,6.4,122880
28,1024,120,1,0,0.148064,0.09792,0.016384,0.016416,0.148064,6.95396,6.4,122880
29,1024,120,1,0,0.141344,0.175872,0.023552,0.018432,0.175872,6.90996,6.4,122880
30,1024,120,1,0,0.18288,0.226368,0.022528,0.018432,0.226368,6.90996,6.4,122880
31,1024,120,1,0,0.18896,0.160288,0.021504,0.018432,0.18896,6.90996,6.4,122880
32,1024,120,1,0,0.143424,0.1856,0.022528,0.018432,0.1856,6.90996,6.4,122880
33,1024,120,1,0,0.138624,0.163136,0.022528,0.018432,0.163136,6.90996,6.4,122880
34,1024,120,1,0,0.150688,0.188384,0.022528,0.018432,0.188384,6.90996,6.4,122880
35,1024,120,1,0,0.143648,0.179104,0.022528,0.018432,0.179104,6.90996,6.4,122880
36,1024,120,1,0,0.150432,0.185536,0.022528,0.019456,0.185536,6.90996,6.4,122880
37,1024,120,1,0,0.148288,0.18576,0.023552,0.018432,0.18576,6.90996,6.4,122880
38,1024,120,1,0,0.167744,0.201536,0.022528,0.017472,0.201536,6.90996,6.4,122880
39,1024,120,1,0,0.146816,0.186752,0.02048,0.018432,0.186752,6.90996,6.4,122880
40,1024,120,1,0,0.144256,0.182688,0.022528,0.018432,0.182688,6.90996,6.4,122880
41,1024,120,1,0,0.187008,0.233408,0.022528,0.01744,0.233408,6.90996,6.4,122880
42,1024,120,1,0,0.135744,0.17488,0.021504,0.018432,0.17488,6.90996,6.4,122880
43,1024,120,1,0,0.150816,0.168544,0.021504,0.019456,0.168544,6.90996,6.4,122880
44,1024,120,1,0,0.172128,0.210624,0.022528,0.019456,0.210624,6.90996,6.4,122880
45,1024,120,1,0,0.143936,0.17888,0.022528,0.017408,0.17888,6.90996,6.4,122880
46,1024,120,1,0,0.155968,0.191296,0.022528,0.018432,0.191296,6.90996,6.4,122880
47,1024,120,1,0,0.147712,0.181376,0.021504,0.018432,0.181376,6.90996,6.4,122880
48,1024,120,1,0,0.153216,0.16704,0.021504,0.018432,0.16704,6.90996,6.4,122880
49,1024,120,1,0,0.172384,0.162432,0.022528,0.018432,0.172384,6.90996,6.4,122880
50,1024,120,1,0,0.15168,0.187392,0.023552,0.017408,0.187392,6.90996,6.4,122880
51,1024,120,1,0,0.174688,0.21808,0.021504,0.018432,0.21808,6.90996,6.4,122880
52,1024,120,1,0,0.143584,0.178048,0.022528,0.019456,0.178048,6.90996,6.4,122880
