frame,threads,blocks,native_covered,scaled_covered,fr_up_ms,lg_up_ms,self_diff_ms,cross_diff_ms,total_gpu_ms,heat_self_mean,heat_cross_mean,nonzero_diff_pixels
0,256,150,1,1,5.39571,0.050912,0.096256,0.01536,5.39571,18,18,345600
1,256,150,1,1,0.127968,0.134816,0.023552,0.01536,0.134816,18,18,345600
2,256,150,1,1,0.045504,0.081216,0.023552,0.01536,0.081216,18,18,345600
3,256,150,1,1,0.049312,0.051712,0.055296,0.016384,0.055296,18,18,345600
4,256,150,1,1,0.05984,0.058272,0.024576,0.039936,0.05984,18,18,345600
5,256,150,1,1,0.123936,0.081472,0.040928,0.01536,0.123936,18,18,345600
6,256,150,1,1,0.044608,0.053024,0.024576,0.014336,0.053024,18,18,345600
7,256,150,1,1,0.07072,0.050656,0.023552,0.04608,0.07072,18,18,345600
8,256,150,1,1,0.076064,0.052832,0.077824,0.034816,0.077824,18,18,345600
9,256,150,1,1,0.046208,0.05312,0.024576,0.032768,0.05312,18,18,345600
10,256,150,1,1,0.052096,0.057632,0.024576,0.01536,0.057632,18,18,345600
11,256,150,1,1,0.046656,0.05472,0.022528,0.01536,0.05472,18,18,345600
12,256,150,1,1,0.11184,0.045248,0.03584,0.014336,0.11184,18,18,345600
13,256,150,1,1,0.067904,0.116192,0.024576,0.094208,0.116192,18,18,345600
14,256,150,1,1,0.06416,0.047584,0.028672,0.049152,0.06416,18,18,345600
15,256,150,1,1,0.051712,0.048032,0.036864,0.01536,0.051712,23.4432,18,345600
16,256,150,1,1,0.061696,0.072,0.024576,0.034592,0.072,23.4432,18,345600
17,256,150,1,1,0.048992,0.125376,0.024576,0.039936,0.125376,26.8146,18,345600
18,256,150,1,1,0.081088,0.045344,0.083968,0.038912,0.083968,26.8146,18,345600
19,256,150,1,1,0.066848,0.043712,0.024576,0.014336,0.066848,25.108,18,345600
20,256,150,1,1,0.10992,0.1136,0.023552,0.015392,0.1136,25.108,18,345600
21,256,150,1,1,0.104064,0.113792,0.024576,0.01536,0.113792,22.1552,18,345600
22,256,150,1,1,0.1424,0.113952,0.024576,0.014336,0.1424,22.1552,18,345600
23,256,150,1,1,0.125472,0.12736,0.024576,0.014336,0.12736,21.5812,18,345600
24,256,150,1,1,0.152512,0.098016,0.024576,0.016384,0.152512,21.5812,18,345600
25,256,150,1,1,0.120256,0.04336,0.0256,0.01536,0.120256,21.1129,18,345600
26,256,150,1,1,0.10496,0.114432,0.0256,0.01536,0.114432,21.1129,18,345600
27,256,150,1,1,0.225952,0.23584,0.023552,0.014336,0.23584,20.8291,18,345600
28,256,150,1,1,0.145216,0.105376,0.0256,0.01536,0.145216,20.8291,18,345600
29,256,150,1,1,0.10768,0.151616,0.036864,0.016384,0.151616,20.5974,18,345600
30,256,150,1,1,0.174016,0.22032,0.03584,0.016384,0.22032,20.5974,18,345600
31,256,150,1,1,0.14192,0.17616,0.036864,0.016384,0.17616,20.5974,18,345600
32,256,150,1,1,0.165984,0.211936,0.03584,0.018432,0.211936,20.5974,18,345600
33,256,150,1,1,0.16704,0.1648,0.036864,0.016384,0.16704,20.5974,18,345600
34,256,150,1,1,0.156736,0.166464,0.036864,0.016384,0.166464,20.5974,18,345600
35,256,150,1,1,0.294112,0.32464,0.03584,0.017408,0.32464,20.5974,18,345600
36,256,150,1,1,0.132832,0.1656,0.036864,0.017408,0.1656,20.5974,18,345600
37,256,150,1,1,0.141376,0.180352,0.037888,0.016384,0.180352,20.5974,18,345600
38,256,150,1,1,0.165632,0.210592,0.036864,0.016384,0.210592,20.5974,18,345600
39,256,150,1,1,0.144512,0.176352,0.03584,0.017408,0.176352,20.5974,18,345600
40,256,150,1,1,0.168512,0.21392,0.034816,0.017408,0.21392,20.5974,18,345600
41,256,150,1,1,0.142592,0.17632,0.036864,0.017408,0.17632,20.5974,18,345600
42,256,150,1,1,0.189248,0.152192,0.034816,0.017408,0.189248,20.5974,18,345600
43,256,150,1,1,0.180352,0.166688,0.036864,0.017408,0.180352,20.5974,18,345600
44,256,150,1,1,0.174496,0.168736,0.036864,0.017408,0.174496,20.5974,18,345600
45,256,150,1,1,0.178688,0.166912,0.036864,0.016384,0.178688,20.5974,18,345600
46,256,150,1,1,0.138976,0.178304,0.036864,0.017408,0.178304,20.5974,18,345600
47,256,150,1,1,0.156288,0.163168,0.034816,0.016384,0.163168,20.5974,18,345600
48,256,150,1,1,0.146464,0.15584,0.03584,0.017408,0.15584,20.5974,18,345600
49,256,150,1,1,0.140128,0.147744,0.036864,0.016384,0.147744,20.5974,18,345600
50,256,150,1,1,0.17856,0.224864,0.036864,0.016384,0.224864,20.5974,18,345600
51,256,150,1,1,0.147136,0.184096,0.03584,0.016384,0.184096,20.5974,18,345600
52,256,150,1,1,0.14448,0.177056,0.03584,0.017408,0.177056,20.5974,18,345600
53,256,150,1,1,0.147712,0.169088,0.03584,0.016384,0.169088,20.5974,18,345600
54,256,150,1,1,0.152416,0.178272,0.03584,0.017408,0.178272,20.5974,18,345600
55,256,150,1,1,0.13328,0.165408,0.036864,0.016384,0.165408,20.5974,18,345600
56,256,150,1,1,0.169728,0.175808,0.03584,0.017408,0.175808,20.5974,18,345600
57,256,150,1,1,0.233664,0.159328,0.036864,0.017408,0.233664,20.5974,18,345600
58,256,150,1,1,0.166432,0.211072,0.036864,0.016384,0.211072,20.5974,18,345600
59,256,150,1,1,0.13568,0.164768,0.036864,0.017408,0.164768,20.5974,18,345600
60,256,150,1,1,0.244032,0.162912,0.036864,0.017408,0.244032,20.5974,18,345600
61,256,150,1,1,0.162912,0.208384,0.037888,0.016384,0.208384,20.5974,18,345600
62,256,150,1,1,0.146304,0.176832,0.034816,0.016384,0.176832,20.5974,18,345600
63,256,150,1,1,0.142176,0.181504,0.03584,0.017408,0.181504,20.5974,18,345600
64,256,150,1,1,0.148704,0.16864,0.036864,0.017408,0.16864,20.5974,18,345600
65,256,150,1,1,0.229952,0.177088,0.038912,0.017408,0.229952,20.5974,18,345600
66,256,150,1,1,0.146112,0.182816,0.03584,0.017408,0.182816,20.5974,18,345600
67,256,150,1,1,0.143136,0.177344,0.036864,0.016384,0.177344,20.5974,18,345600
68,256,150,1,1,0.14272,0.176256,0.036864,0.016384,0.176256,20.5974,18,345600
69,256,150,1,1,0.155008,0.16512,0.037888,0.016384,0.16512,20.5974,18,345600
70,256,150,1,1,0.07904,0.12048,0.034816,0.017408,0.12048,20.5974,18,345600
71,256,150,1,1,0.181408,0.163456,0.03584,0.016384,0.181408,20.5974,18,345600
